"Date","Video Views","Profile Views","Likes","Comments","Shares"
"10 January","2037","31","87","1","27"
"11 January","2054","41","104","2","32"
"12 January","1561","29","66","0","23"
"13 January","1385","28","47","0","16"
"14 January","1343","24","49","-1","24"
"15 January","1508","30","50","-3","25"
"16 January","1456","9","34","-1","21"
"17 January","1540","18","27","3","9"
"18 January","1308","17","24","0","6"
"19 January","1085","14","27","0","14"
"20 January","987","12","25","1","11"
"21 January","1113","11","22","1","12"
"22 January","1213","21","19","0","19"
"23 January","1300","13","35","0","10"
"24 January","2631","60","149","7","31"
"25 January","1733","35","61","0","13"
"26 January","1526","35","67","3","16"
"27 January","1205","18","36","0","8"
"28 January","1261","28","54","0","22"
"29 January","1399","19","51","0","21"
"30 January","1373","16","44","0","9"
"31 January","1829","26","67","1","10"
"1 February","1475","15","42","0","13"
"2 February","1206","14","35","0","16"
"3 February","1484","25","54","0","24"
"4 February","1314","14","41","0","18"
"5 February","1150","8","22","0","11"
"6 February","2190","60","187","5","23"
"7 February","1517","22","33","0","14"
"8 February","1467","30","40","1","6"
"9 February","1102","13","29","-3","20"
"10 February","3736","100","229","7","60"
"11 February","7762","263","474","4","75"
"12 February","3214","99","150","5","41"
"13 February","4339","99","341","9","45"
"14 February","2797","44","117","-3","37"
"15 February","1864","41","60","0","21"
"16 February","1558","43","61","1","11"
"17 February","1708","26","82","-1","27"
"18 February","1461","36","66","3","24"
"19 February","1933","39","98","0","28"
"20 February","1946","33","71","0","19"
"21 February","1951","17","50","1","21"
"22 February","1804","31","53","0","16"
"23 February","1510","16","31","0","14"
"24 February","1507","26","32","0","13"
"25 February","1382","21","30","1","21"
"26 February","1439","10","35","0","21"
"27 February","11871","144","916","15","450"
"28 February","14334","195","1261","19","546"
"1 March","11574","202","1060","7","237"
"2 March","8258","171","708","19","119"
"3 March","3692","63","238","5","75"
"4 March","4382","92","327","12","64"
"5 March","3688","73","255","5","36"
"6 March","4717","95","434","10","33"
"7 March","7657","107","951","24","59"
"8 March","8097","143","990","15","55"
"9 March","6359","112","740","14","33"
"10 March","4214","86","403","3","25"
"11 March","3419","56","287","7","24"
"12 March","3262","46","244","7","34"
"13 March","2732","28","154","2","19"
"14 March","2875","35","114","4","31"
"15 March","2800","35","127","1","32"
